customerID,Contract,InternetService,tenure,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Level,Recommended_Action
2636-ALXXZ,Month-to-month,Fiber optic,1,69.6,69.6,1.0,High,Offer a long-term contract with a targeted retention incentive.
4510-HIMLV,Month-to-month,Fiber optic,1,69.8,69.8,1.0,High,Offer a long-term contract with a targeted retention incentive.
3428-XZMAZ,Month-to-month,Fiber optic,1,69.35,69.35,1.0,High,Offer a long-term contract with a targeted retention incentive.
8375-DKEBR,Month-to-month,Fiber optic,1,69.6,69.6,1.0,High,Offer a long-term contract with a targeted retention incentive.
1820-TQVEV,Month-to-month,Fiber optic,1,69.55,69.55,1.0,High,Offer a long-term contract with a targeted retention incentive.
6358-LYNGM,Month-to-month,Fiber optic,1,74.9,74.9,1.0,High,Offer a long-term contract with a targeted retention incentive.
1452-VOQCH,Month-to-month,Fiber optic,1,75.1,75.1,1.0,High,Offer a long-term contract with a targeted retention incentive.
7665-TOALD,Month-to-month,Fiber optic,1,69.6,69.6,1.0,High,Offer a long-term contract with a targeted retention incentive.
4871-JTKJF,Month-to-month,Fiber optic,1,69.65,69.65,0.995,High,Offer a long-term contract with a targeted retention incentive.
5797-APWZC,Month-to-month,Fiber optic,1,90.6,90.6,0.995,High,Offer a long-term contract with a targeted retention incentive.
5960-WPXQM,Month-to-month,Fiber optic,1,79.05,79.05,0.995,High,Offer a long-term contract with a targeted retention incentive.
6457-GIRWB,Month-to-month,Fiber optic,1,69.35,69.35,0.9945859872611464,High,Offer a long-term contract with a targeted retention incentive.
1285-OKIPP,Month-to-month,Fiber optic,1,79.9,79.9,0.99,High,Offer a long-term contract with a targeted retention incentive.
7206-GZCDC,Month-to-month,Fiber optic,1,69.25,69.25,0.99,High,Offer a long-term contract with a targeted retention incentive.
0488-GSLFR,Month-to-month,Fiber optic,1,69.5,69.5,0.99,High,Offer a long-term contract with a targeted retention incentive.
9497-QCMMS,Month-to-month,Fiber optic,1,93.55,93.55,0.99,High,Offer a long-term contract with a targeted retention incentive.
7577-SWIFR,Month-to-month,Fiber optic,1,89.25,89.25,0.99,High,Offer a long-term contract with a targeted retention incentive.
5542-TBBWB,Month-to-month,Fiber optic,1,69.9,69.9,0.99,High,Offer a long-term contract with a targeted retention incentive.
9300-AGZNL,Month-to-month,Fiber optic,1,94.0,94.0,0.99,High,Offer a long-term contract with a targeted retention incentive.
6502-MJQAE,Month-to-month,Fiber optic,1,69.6,69.6,0.9895859872611464,High,Offer a long-term contract with a targeted retention incentive.
7254-IQWOZ,Month-to-month,Fiber optic,1,69.65,69.65,0.9888212813787935,High,Offer a long-term contract with a targeted retention incentive.
7294-TMAOP,Month-to-month,Fiber optic,1,90.55,90.55,0.985,High,Offer a long-term contract with a targeted retention incentive.
0495-RVCBF,Month-to-month,Fiber optic,1,79.7,79.7,0.985,High,Offer a long-term contract with a targeted retention incentive.
3551-HUAZH,Month-to-month,Fiber optic,1,74.4,74.4,0.985,High,Offer a long-term contract with a targeted retention incentive.
1761-AEZZR,Month-to-month,Fiber optic,1,79.55,79.55,0.985,High,Offer a long-term contract with a targeted retention incentive.
9019-QVLZD,Month-to-month,Fiber optic,1,79.55,79.55,0.985,High,Offer a long-term contract with a targeted retention incentive.
8040-MNRTF,Month-to-month,Fiber optic,1,71.1,71.1,0.985,High,Offer a long-term contract with a targeted retention incentive.
5539-TMZLF,Month-to-month,Fiber optic,1,69.75,69.75,0.985,High,Offer a long-term contract with a targeted retention incentive.
8580-AECUZ,Month-to-month,Fiber optic,1,79.1,79.1,0.985,High,Offer a long-term contract with a targeted retention incentive.
9728-FTTVZ,Month-to-month,Fiber optic,1,69.2,69.2,0.98,High,Offer a long-term contract with a targeted retention incentive.
7660-HDPJV,Month-to-month,Fiber optic,1,69.2,69.2,0.98,High,Offer a long-term contract with a targeted retention incentive.
8740-CRYFY,Month-to-month,Fiber optic,1,78.95,78.95,0.98,High,Offer a long-term contract with a targeted retention incentive.
0295-PPHDO,Month-to-month,Fiber optic,1,95.45,95.45,0.98,High,Offer a long-term contract with a targeted retention incentive.
8058-INTPH,Month-to-month,Fiber optic,1,79.65,79.65,0.9792347043175772,High,Offer a long-term contract with a targeted retention incentive.
5043-TRZWM,Month-to-month,Fiber optic,1,75.55,75.55,0.975,High,Offer a long-term contract with a targeted retention incentive.
7439-DKZTW,Month-to-month,Fiber optic,1,80.55,80.55,0.975,High,Offer a long-term contract with a targeted retention incentive.
0841-NULXI,Month-to-month,DSL,1,35.55,35.55,0.975,High,Offer a long-term contract with a targeted retention incentive.
9248-OJYKK,Month-to-month,Fiber optic,1,76.45,76.45,0.975,High,Offer a long-term contract with a targeted retention incentive.
2545-EBUPK,Month-to-month,Fiber optic,2,84.05,186.05,0.975,High,Offer a long-term contract with a targeted retention incentive.
4102-OQUPX,Month-to-month,Fiber optic,1,74.4,74.4,0.975,High,Offer a long-term contract with a targeted retention incentive.
1455-ESIQH,Month-to-month,Fiber optic,1,89.1,89.1,0.975,High,Offer a long-term contract with a targeted retention incentive.
2004-OCQXK,Month-to-month,Fiber optic,1,81.95,81.95,0.975,High,Offer a long-term contract with a targeted retention incentive.
2514-GINMM,Month-to-month,Fiber optic,1,79.5,79.5,0.975,High,Offer a long-term contract with a targeted retention incentive.
5393-RXQSZ,Month-to-month,Fiber optic,1,79.6,79.6,0.975,High,Offer a long-term contract with a targeted retention incentive.
4424-TKOPW,Month-to-month,Fiber optic,2,93.85,196.75,0.97,High,Offer a long-term contract with a targeted retention incentive.
5178-LMXOP,Month-to-month,Fiber optic,1,95.1,95.1,0.97,High,Offer a long-term contract with a targeted retention incentive.
1447-GIQMR,Month-to-month,Fiber optic,1,69.15,69.15,0.97,High,Offer a long-term contract with a targeted retention incentive.
5240-IJOQT,Month-to-month,Fiber optic,1,74.7,74.7,0.97,High,Offer a long-term contract with a targeted retention incentive.
6894-LFHLY,Month-to-month,Fiber optic,1,75.75,75.75,0.965,High,Offer a long-term contract with a targeted retention incentive.
4550-EVXNY,Month-to-month,Fiber optic,1,69.65,69.65,0.965,High,Offer a long-term contract with a targeted retention incentive.
2777-PHDEI,Month-to-month,Fiber optic,1,78.05,78.05,0.965,High,Offer a long-term contract with a targeted retention incentive.
7908-QCBCA,Month-to-month,Fiber optic,1,69.4,69.4,0.965,High,Offer a long-term contract with a targeted retention incentive.
6861-XWTWQ,Month-to-month,Fiber optic,7,99.25,665.45,0.965,High,Offer a long-term contract with a targeted retention incentive.
5494-HECPR,Month-to-month,Fiber optic,1,80.25,80.25,0.965,High,Offer a long-term contract with a targeted retention incentive.
1768-ZAIFU,Month-to-month,DSL,1,25.2,25.2,0.965,High,Offer a long-term contract with a targeted retention incentive.
7180-PISOG,Month-to-month,Fiber optic,1,74.5,74.5,0.965,High,Offer a long-term contract with a targeted retention incentive.
5134-IKDAY,Month-to-month,Fiber optic,1,69.8,69.8,0.9623451641526176,High,Offer a long-term contract with a targeted retention incentive.
0897-FEGMU,Month-to-month,Fiber optic,11,99.5,1056.95,0.96,High,Offer a long-term contract with a targeted retention incentive.
2609-IAICY,Month-to-month,Fiber optic,1,77.15,77.15,0.96,High,Offer a long-term contract with a targeted retention incentive.
2506-TNFCO,Month-to-month,Fiber optic,1,69.55,69.55,0.96,High,Offer a long-term contract with a targeted retention incentive.
4910-GMJOT,Month-to-month,Fiber optic,1,94.6,94.6,0.96,High,Offer a long-term contract with a targeted retention incentive.
5550-VFRLC,Month-to-month,Fiber optic,1,69.85,69.85,0.9560177462289264,High,Offer a long-term contract with a targeted retention incentive.
7274-RTAPZ,Month-to-month,Fiber optic,1,90.55,90.55,0.955,High,Offer a long-term contract with a targeted retention incentive.
8149-RSOUN,Month-to-month,Fiber optic,1,93.85,93.85,0.955,High,Offer a long-term contract with a targeted retention incentive.
9124-LHCJQ,Month-to-month,Fiber optic,1,85.45,85.45,0.955,High,Offer a long-term contract with a targeted retention incentive.
3716-BDVDB,Month-to-month,Fiber optic,1,69.1,69.1,0.955,High,Offer a long-term contract with a targeted retention incentive.
4415-IJZTP,Month-to-month,Fiber optic,1,74.5,74.5,0.955,High,Offer a long-term contract with a targeted retention incentive.
2262-SLNVK,Month-to-month,Fiber optic,1,70.1,70.1,0.9500410009990136,High,Offer a long-term contract with a targeted retention incentive.
3765-JXVKY,Month-to-month,Fiber optic,1,74.7,74.7,0.95,High,Offer a long-term contract with a targeted retention incentive.
3066-RRJIO,Month-to-month,Fiber optic,1,69.95,69.95,0.95,High,Offer a long-term contract with a targeted retention incentive.
6567-HOOPW,Month-to-month,Fiber optic,1,79.2,79.2,0.95,High,Offer a long-term contract with a targeted retention incentive.
3091-FYHKI,Month-to-month,DSL,1,35.45,35.45,0.95,High,Offer a long-term contract with a targeted retention incentive.
8062-YBDOE,Month-to-month,Fiber optic,1,69.65,69.65,0.945,High,Offer a long-term contract with a targeted retention incentive.
5597-GLBUC,Month-to-month,Fiber optic,1,85.45,85.45,0.945,High,Offer a long-term contract with a targeted retention incentive.
2867-UIMSS,Month-to-month,Fiber optic,1,80.5,80.5,0.94,High,Offer a long-term contract with a targeted retention incentive.
1069-XAIEM,Month-to-month,Fiber optic,1,85.05,85.05,0.94,High,Offer a long-term contract with a targeted retention incentive.
0697-ZMSWS,Month-to-month,Fiber optic,4,85.65,338.9,0.94,High,Offer a long-term contract with a targeted retention incentive.
9885-CSMWE,Month-to-month,Fiber optic,1,78.45,78.45,0.94,High,Offer a long-term contract with a targeted retention incentive.
2619-WFQWU,Month-to-month,Fiber optic,1,70.15,70.15,0.9386725820763088,High,Offer a long-term contract with a targeted retention incentive.
8593-WHYHV,Month-to-month,Fiber optic,3,85.3,264.8,0.935,High,Offer a long-term contract with a targeted retention incentive.
9330-IJWIO,Month-to-month,Fiber optic,13,100.35,1358.85,0.935,High,Offer a long-term contract with a targeted retention incentive.
2720-WGKHP,Month-to-month,Fiber optic,2,94.0,181.7,0.935,High,Offer a long-term contract with a targeted retention incentive.
7576-OYWBN,Month-to-month,Fiber optic,3,76.05,231.8,0.935,High,Offer a long-term contract with a targeted retention incentive.
5884-GCYMI,Month-to-month,Fiber optic,1,69.4,69.4,0.935,High,Offer a long-term contract with a targeted retention incentive.
2688-BHGOG,Month-to-month,Fiber optic,9,79.55,718.55,0.935,High,Offer a long-term contract with a targeted retention incentive.
7450-NWRTR,Month-to-month,Fiber optic,12,99.45,1200.15,0.93,High,Offer a long-term contract with a targeted retention incentive.
4110-PFEUZ,Month-to-month,Fiber optic,1,69.55,69.55,0.93,High,Offer a long-term contract with a targeted retention incentive.
4988-IQIGL,Month-to-month,Fiber optic,1,75.35,75.35,0.93,High,Offer a long-term contract with a targeted retention incentive.
7216-EWTRS,Month-to-month,Fiber optic,1,100.8,100.8,0.93,High,Offer a long-term contract with a targeted retention incentive.
4912-PIGUY,Month-to-month,Fiber optic,1,84.6,84.6,0.93,High,Offer a long-term contract with a targeted retention incentive.
4143-OOBWZ,Month-to-month,Fiber optic,5,81.3,416.3,0.93,High,Offer a long-term contract with a targeted retention incentive.
4273-MBHYA,Month-to-month,Fiber optic,1,89.35,89.35,0.93,High,Offer a long-term contract with a targeted retention incentive.
